ID,Kode,Prov,Region
1,11,ACEH,Sumatera
28,12,SUMATERA UTARA,Sumatera
29,13,SUMATERA BARAT,Sumatera
31,14,RIAU,Sumatera
27,15,JAMBI,Sumatera
30,16,SUMATERA SELATAN,Sumatera
24,17,BENGKULU,Sumatera
23,18,LAMPUNG,Sumatera
7,19,KEPULAUAN BANGKA BELITUNG,Sumatera
14,21,KEPULAUAN RIAU,Sumatera
26,31,DKI JAKARTA,Jawa
6,32,JAWA BARAT,Jawa
11,33,JAWA TENGAH,Jawa
33,34,DAERAH ISTIMEWA YOGYAKARTA,Jawa
8,35,JAWA TIMUR,Jawa
25,36,BANTEN,Jawa
4,51,BALI,Bali_nusa
13,52,NUSA TENGGARA BARAT,Bali_nusa
2,53,NUSA TENGGARA TIMUR,Bali_nusa
12,61,KALIMANTAN BARAT,Kalimantan
10,62,KALIMANTAN TENGAH,Kalimantan
5,63,KALIMANTAN SELATAN,Kalimantan
22,64,KALIMANTAN TIMUR,Kalimantan
32,65,KALIMANTAN UTARA,Kalimantan
16,71,SULAWESI UTARA,Sulawesi
17,72,SULAWESI TENGAH,Sulawesi
9,73,SULAWESI SELATAN,Sulawesi
18,74,SULAWESI TENGGARA,Sulawesi
15,75,GORONTALO,Sulawesi
34,76,SULAWESI BARAT,Sulawesi
21,81,MALUKU,Maluku
20,82,MALUKU UTARA,Maluku
19,91,PAPUA BARAT,Papua
3,94,PAPUA,Papua
